committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136237,F3P,4071620191659583346,23,500060054,1340976,ORG,ORGANIZATION,,,AVIS RENTAL CAR,PARSIPPANY,NJ,070543826,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-05-01 00:00:00,462.63,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.403,4071620191659628537,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136237,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136610,F3P,4071620191659583346,23,500060440,1340976,ORG,ORGANIZATION,,,THE UPS STORE,DUBLIN,CA,945682324,,,,,SHIPPING,OTHER,,,,2019-05-13 00:00:00,463.83,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.222,4071620191659630778,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136610,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136113,F3P,4071620191659583346,23,500060586,1340976,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,SOMERVILLE,MA,021443132,,,,,CREDIT CARD PROCESSING FEES,OTHER,,,,2019-05-05 00:00:00,464.46,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.319,4071620191659627788,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136113,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q3,201910159163936803,F3P,4101520191674204872,23,500064146,1357668,ORG,ORGANIZATION,,,AVIS RENTAL CAR,PARSIPPANY,NJ,070543826,,,,,TRAVEL EXPENSE,MATERIALS,X,,*,2019-07-10 00:00:00,465.39,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-10-26 03:40:19.264,4102520191675424613,,500064138,SB23,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201910159163936803,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136665,F3P,4071620191659583346,23,500061245,1340976,ORG,ORGANIZATION,,,UNITED AIRLINES,CHICAGO,IL,606660100,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-07 00:00:00,469.00,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.258,4071620191659631110,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136665,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136634,F3P,4071620191659583346,23,500061520,1340976,ORG,ORGANIZATION,,,U.S. BANK,DUBLIN,CA,945682833,,,,,BANK FEE,OTHER,,,,2019-06-14 00:00:00,469.95,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.237,4071620191659630921,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136634,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136226,F3P,4071620191659583346,23,500061850,1340976,ORG,ORGANIZATION,,,AMERICAN AIRLINES,FORT WORTH,TX,761552603,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-25 00:00:00,470.30,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.395,4071620191659628467,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136226,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136209,F3P,4071620191659583346,23,500061316,1340976,ORG,ORGANIZATION,,,AMERICAN AIRLINES,FORT WORTH,TX,761552603,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-17 00:00:00,472.49,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.383,4071620191659628365,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136209,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136210,F3P,4071620191659583346,23,500061319,1340976,ORG,ORGANIZATION,,,AMERICAN AIRLINES,FORT WORTH,TX,761552603,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-17 00:00:00,472.49,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:23.385,4071620191659628371,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136210,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
C00701698,SWALWELL FOR AMERICA,2019,Q2,201907159151136425,F3P,4071620191659583346,23,500061410,1340976,ORG,ORGANIZATION,,,HOTELS.COM,DALLAS,TX,75231,,,,,TRAVEL EXPENSES,MATERIALS,,,,2019-06-06 00:00:00,472.78,,,,,,,,,,,,,,,,,2020,A,ADD,SB,ITEMIZED DISBURSEMENTS,2019-07-17 03:45:25.097,4071620191659629668,,,,0.00,http://docquery.fec.gov/cgi-bin/fecimg/?201907159151136425,Operating Expenditures,,,,,,,,,,,,,,,,,,P,,P
